init,time,accuracy,precision,recall,fscore
svc,0.377706,0.974747,0.975153,0.974747,0.974804
rbf_svc,0.791340,0.944444,0.962166,0.944444,0.948446
nu_svc,1.204651,0.932660,0.935737,0.932660,0.932959
lin_svc,0.405009,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.501404,0.942761,0.945108,0.942761,0.942691
knn-auto,0.230495,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.207300,0.969697,0.971286,0.969697,0.969738
knn-brute,0.176980,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,1.515332,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.765241,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.021171,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.073269,0.794613,0.841574,0.794613,0.797305
logreg,0.453010,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.088434,0.936027,0.937742,0.936027,0.936450
passiveac,0.037377,0.936027,0.937742,0.936027,0.936450
